type,siteid,resourceid
Archaeological Site,LL00091,027b9d60-2b4f-11ea-afdb-0abff18d581c
Archaeological Site,AL00001,8116c8f3-9196-4aeb-8a7e-ee2d18279639
Archaeological Site,AL00010,854b6377-5bed-4902-9e85-1da2771b4cc4
Archaeological Site,AL00022,3a57318e-35f3-4c64-b56b-f46690f145b4
Archaeological Site,AL00023,9de199fc-4d9a-4de4-82a1-08c3a7ee37d2
Archaeological Site,AL00038,01629886-b21c-40de-83af-0eb79ad038cb
Archaeological Site,AL00039,18a226d6-4603-4cc3-8d91-0133043e9eba
Archaeological Site,AL00040,6b13de68-fb55-4497-a297-98e9b177b012
Archaeological Site,AL00061,5ccac933-68c8-4f0b-a332-408f36192053
Archaeological Site,AL00062,06f1d9c8-19a7-44f7-977a-b2de7de981dd
Archaeological Site,AL00077,ed9bd38a-3315-43e5-8922-381973011023
Archaeological Site,AL00081,273de004-bdec-4027-9051-dc9ceac171c0
Archaeological Site,AL00086,3e53b2e9-b7c2-45a1-a945-4761f97734f8
Archaeological Site,AL00131,b35e1629-976a-4bec-aa2b-051e61d95aa9
Archaeological Site,AL00136,caf19179-f400-413b-bfaf-03b2bba025eb
Archaeological Site,AL00137,daf3fe2b-0ad0-41ea-a4e2-e516a6529fcb
Archaeological Site,AL00141,02446fc2-49cd-4e00-b9bb-83616c43b1d1
Archaeological Site,AL00155,facbee26-f3b6-47d5-9741-ce5026298f4b
Archaeological Site,AL00163,c096ded4-114d-4e82-b240-a9452506666e
Archaeological Site,AL00179,799cb21d-83d6-441c-9116-7e2db3ecd781
Archaeological Site,AL00180,a675b892-6735-452c-90a9-b951b07f1648
Archaeological Site,AL00192,8c14f28d-3add-4c9f-8493-697d66390054
Archaeological Site,AL00272,3220e20c-ca21-4224-9d59-85ca51a7d703
Archaeological Site,AL00275,a7818de5-ead4-4779-b246-238aa2d833da
Archaeological Site,AL00276,bf643464-1711-47a5-95d0-9e8111aaa6ef
Archaeological Site,AL00288,fd7d0ba2-f454-4d5c-9054-5759d1c8cca9
Archaeological Site,AL00304,8552f8b9-aae2-44e5-91f2-d47f5d57622e
Archaeological Site,AL00305,e7d1961c-0380-48dc-a550-afd67e9fcf54
Archaeological Site,AL00306,f2ec238b-6a10-4df6-ac9c-6dfbf17c118e
Archaeological Site,AL00307,96412b85-e313-425c-b989-5214cdd4e4eb
Archaeological Site,AL00309,b8c744c6-158d-4d12-9b90-4186c6109db0
Archaeological Site,AL00310,0e3b65c9-7778-46c8-828e-311194be1306
Archaeological Site,AL00315,ce11d6bd-dd1a-42e5-86ff-32543dee8d69
Archaeological Site,AL00346,e5d37772-dea1-45c7-a81f-efd546f0f5ff
Archaeological Site,AL00350,202bc247-fe46-41dd-bba8-d3c1c0454f96
Archaeological Site,AL00351,fbb97427-19c3-444a-9829-d1e5d34ff6ba
Archaeological Site,AL00352,4f9e0721-6c30-4f09-8239-2bbc0dc03e45
Archaeological Site,AL00356,03e85bcc-2ccb-4121-96c7-9f3db5e6d3cd
Archaeological Site,BA00335,13e94dda-09b4-4cb7-bb3c-6b9c1010380c
Archaeological Site,BA00336,9a640e3e-7ce9-4cfa-8059-ad12ddcce9d0
Archaeological Site,BA00488,c9ba810c-092b-458e-a83a-7475bf754b81
Archaeological Site,BA00489,ea5f96a0-3cab-453b-a133-0bec54464ce8
Archaeological Site,BA00490,52e5e495-39ad-44b1-a1da-898570c4388e
Archaeological Site,BA00491,9bf9be46-62e0-4fa8-b1bc-8e2f8f009563
Archaeological Site,BA00492,4858b692-cd6b-494a-8b1b-3904afc30df0
Archaeological Site,AL00461,78e3c67f-146c-4769-8d5e-d2976837db93
Archaeological Site,AL00479B,b73b4a6e-000e-49e3-b702-e9d655a4260c
