ResourceID,geom,SITEID,SITENAME
dd949212-ca8f-42a9-bbc9-c55ba789d6ac,"MULTIPOLYGON (((-82.310116874999949 29.651118893000046,-82.310116885999946 29.65185880100006,-82.310775139999976 29.651858796000056,-82.310843227999953 29.651813420000053,-82.310906780999971 29.65176804400005,-82.310952157999964 29.651713559000029,-82.311015711999971 29.651650007000057,-82.31108384099997 29.651577346000067,-82.311147393999988 29.65149566100007,-82.311206413999969 29.65142753300006,-82.311251790999961 29.651350381000043,-82.31126543299996 29.651309539000067,-82.311265431999971 29.651250564000065,-82.311263205999978 29.651118885000074,-82.310116874999949 29.651118893000046)))
",AL02308,JEWISH CEMETERY
9fb0aca7-60ea-4d5e-9107-c6b254f7fa48,"MULTIPOLYGON (((-82.286259319999942 29.501406354000039,-82.285190789999945 29.501394729000026,-82.285214037999935 29.503090390000068,-82.286280000999966 29.503100646000064,-82.286259319999942 29.501406354000039)))
",AL02372,MICANOPY CEMETERY
fd34f21c-bed9-4f0a-8375-f8362c672d2a,"MULTIPOLYGON (((-82.273928289999958 29.513500420000071,-82.273474472999965 29.513500423000039,-82.273474482999973 29.514231521000056,-82.274407307999979 29.514231515000063,-82.274407297999971 29.513517224000054,-82.273928289999958 29.513500420000071)))
",AL02891,FRANKLIN CEMETERY
feeefafd-6182-423e-974c-90c37cb9687f,"MULTIPOLYGON (((-82.478594616999942 29.804052112000079,-82.478594614999963 29.803960163000056,-82.477422148999949 29.803937162000068,-82.476594531999979 29.804075089000037,-82.476318869999943 29.805200880000029,-82.476295689999972 29.805201522000061,-82.476226758999985 29.805730246000053,-82.476226788999952 29.806971591000035,-82.476226791999977 29.807109513000057,-82.477973943999984 29.807132511000077,-82.477906535999978 29.805200742000068,-82.478617610999947 29.805178499000078,-82.478594616999942 29.804052112000079)))
",AL02929,Newnansville Cemetery
8b04a4e2-697a-44ca-b4ef-34ee92f9547b,"MULTIPOLYGON (((-82.488663979999956 29.807132448000061,-82.488664000999961 29.808005999000045,-82.48997439599998 29.808005992000062,-82.489974374999974 29.807132440000032,-82.488663979999956 29.807132448000061)))
",AL02930,Small Cemetery
e0c179ce-876a-4c4c-aaf6-28ac219edd0b,"MULTIPOLYGON (((-82.48031883699997 29.805546325000023,-82.480318867999983 29.806833644000051,-82.482479850999937 29.806833631000075,-82.48247982 29.805546312000047,-82.48031883699997 29.805546325000023)))
",AL02931,Union Soldiers Burial
0f0551d5-5fb3-4e5e-943c-f8dafd38268a,"MULTIPOLYGON (((-82.529527120999944 29.526270082000053,-82.531925741999942 29.524659066000027,-82.527593845999945 29.524659128000053,-82.527593857999989 29.525249823000024,-82.52757085099995 29.525372564000065,-82.527555500999938 29.525579683000046,-82.528936381999983 29.525602672000048,-82.529527120999944 29.526270082000053)))
",AL03027,LAUREL HILL CEMETERY
2a375b19-6868-4f29-8608-2b98d2f8fb57,"MULTIPOLYGON (((-82.387089396999954 29.640462387000071,-82.388329856999974 29.640462387000071,-82.388293372999954 29.639762325000049,-82.387078170999985 29.639759886000036,-82.387089396999954 29.640462387000071)))
",AL03283,DAYSVILLE COMMUNITY CEMETERY
50aa331e-1b05-4e01-8e50-cdbda305abd4,"MULTIPOLYGON (((-82.16128320699994 29.790271493000034,-82.159403679999969 29.790260242000045,-82.159454167999968 29.791113050000035,-82.161238364999974 29.791107451000073,-82.16128320699994 29.790271493000034)))
",AL03738,LAUREL GROVE CEMETERY
c8d6d6bd-3032-4fd5-9629-dbbe023c7737,"MULTIPOLYGON (((-82.167550451999944 29.813085066000042,-82.16602628399994 29.813085064000063,-82.166043711999976 29.813902162000034,-82.167538883999953 29.813931160000038,-82.167550451999944 29.813085066000042)))
",AL03766,US 301 CEMETERY
