ResourceID,geom,SITEID,SITENAME
d0127065-ea4d-4cba-ba89-642ee2b2bb17,POINT (-82.160115136999934 29.481556284000078),AL00479A,MARJORIE KINNAN RAWLINGS HOUSE
c1d49620-d104-4930-9f70-7485dad81098,POINT (-82.255716693999943 29.607937135000043),AL00533,PZ-2 HOUSE
7f4d4465-d730-449c-961f-42cfb0153b52,POINT (-82.539685376999955 29.658314853000036),AL02328A,DUDLEY FARM - MAIN HOUSE
b1477021-7914-4f87-a80f-f2001211d863,POINT (-82.539611376999972 29.658189485000037),AL02328B,DUDLEY FARM - STONE HOUSE
1db37c23-ff45-49ed-afdd-0d3c04f2f581,POINT (-82.539726456999972 29.658489150000037),AL02328C,DUDLEY FARM - KITCHEN
091199d6-01a7-4936-bf3b-8d8e88a1633b,POINT (-82.539638042999968 29.658723623000071),AL02328D,DUDLEY FARM - OUTHOUSE
e0b1137c-d941-48d8-8edf-08830ed0f8ae,POINT (-82.539737576999983 29.658642588000077),AL02328E,DUDLEY FARM - SMOKEHOUSE
9b7ccd5e-518e-44df-b2df-b1963e5fca92,POINT (-82.540292928999975 29.657916889000035),AL02328F,DUDLEY FARM - TOBACCO BARN
db38a94e-8ffa-4aa2-88f5-4e8d750528a3,POINT (-82.540015843999981 29.658860916000037),AL02328G,DUDLEY FARM - CORN CRIB
d07cdb0f-1eff-4e0d-be08-549523963695,POINT (-82.54021114599999 29.659197877000054),AL02328H,DUDLEY FARM - HAY BARN
20b91555-080e-4433-80e8-3b9195b8ce64,POINT (-82.540017729999988 29.658729581000046),AL02328I,DUDLEY FARM - STABLE (D)
af2060a1-7462-45ba-8ad4-8d239c8fa408,POINT (-82.539897122999946 29.658921865000025),AL02328J,DUDLEY FARM - STABLE
f6a89b2e-6952-4743-9e8b-aba0db9fc7cc,POINT (-82.540555144999985 29.658225177000077),AL02328K,DUDLEY FARM - CATTLE DIP
ec4cc5cd-463d-4e92-949f-6474a9b70dba,POINT (-82.540010474999974 29.65868382900004),AL02328L,DUDLEY FARM - MILK ROOM
f738d577-0c05-4de0-ad8a-101fa701e934,POINT (-82.539938826999958 29.658107288000053),AL02328M,DUDLEY FARM - PUMP HOUSE
3e97b258-fcf8-44a5-87f0-32151e1f5f9d,POINT (-82.540030253999987 29.658262055000023),AL02328N,DUDLEY FARM - SUGAR FURNACE
b708a851-f0b5-4f88-9e26-718e003c95d7,POINT (-82.540094083999975 29.658521719000078),AL02328O,DUDLEY FARM - PACK/STORE HOUSE
6c397873-6dc5-4d08-a0b9-7706fbd2429a,POINT (-82.540041242999962 29.658347208000066),AL02328P,Dudley Farm Sweet Potato Cellar
32082908-e5dc-448f-8120-f6c29e11736b,POINT (-82.539487901999962 29.658731093000029),AL02328Q,Dudley Farm Brooder House
