SITE_NAME,DISTRICT,FPAN Region,COUNTY,ADDRESS
Addison Blockhouse Historic State Park,3,Northeast,Volusia,"2099 N Beach Street Ormond Beach, Fl 32174"
Alafia River State Park,4,West Central,Hillsborough,"14326 South County Rd 39 Lithia, Fl 33547"
Alfred B. Maclay Gardens State Park,1,North Central,Leon,"3540 Thomasville Rd Tallahassee, Fl 32309"
Allen David Broussard Catfish Creek Preserve State Park,3,West Central,Polk,"4335 Firetower Rd. Haines City, Fl 33844"
Amelia Island State Park,2,Northeast,Nassau,"9549 1St Coast Hwy, Fernandina Beach, Fl 32034"
Anastasia State Park,3,Northeast,St. Johns,"300 Anastasia Park Rd. St Augustine, Fl 32080"
Anclote Key Preserve State Park,4,West Central,"Pinellas, Pasco","Anclote Key Tarpon Springs, Fl 34689"
Anderson's Landing (Managed by Manatee Springs State Park),2,North Central,Dixie,"23103 Se 349 Hwy, Suwannee, Fl 32692"
Atlantic Ridge Preserve State Park,5,Central,Martin,"8120 Se Paulson Ave Stuart, Fl 34997"
Avalon State Park,5,East Central,St. Lucie,"5400 A1A Fort Pierce, Fl 34949"
Bahia Honda State Park,5,Southeast,Monroe,"36850 Overseas Hwy Big Pine Key, Fl 33043"
Bald Point State Park,1,North Central,Franklin,"146 Box Cut Rd Alligator Point, Fl 32346"
Big Lagoon State Park,1,Northwest,Escambia,"12301 Gulf Beach Hwy Pensacola, Fl 32507"
Big Shoals State Park,2,North Central,"Hamilton, Columbia","11330 Southeast County Rd 135 White Springs, Fl 32096"
Big Talbot Island State Park,2,Northeast,Duval,"15500 Bucaneer Trail, Jacksonville, Fl 32226"
Bill Baggs Cape Florida State Park,5,Southeast,Dade,"1200 S Crandon Blvd Key Biscayne, Fl 33149"
Blackwater Heritage State Trail,1,Northwest,Santa Rosa,"5533 Alabama Street Milton, Fl 32564"
Blackwater River State Park,1,Northwest,Santa Rosa,"7720 Deaton Bridge Rd Holt, Fl 32564"
Blue Spring State Park,3,Northeast,Volusia,"2100 W French Ave Orange City, Fl 32763"
Bulow Creek State Park,3,Northeast,"Flagler, Volusia","3335 Old Dixie Hwy Ormond Beach, Fl 32174"
Bulow Plantation Ruins Historic State Park,3,Northeast,Flagler,"3501 Old Kings Rd. Flagler Beach, Fl 32136"
Caladesi Island State Park,4,West Central,Pinellas,"Caladesi Island State Park Dunedin, Fl 34698"
Camp Helen State Park,1,Northwest,Bay,"23937 Panama City Beach Parkway Panama City Beach, Fl 32413"
Cayo Costa State Park,4,Southwest,Lee,"Cayo Costa State Park Captiva, Fl 33924"
Cedar Key Museum State Park,2,Central,Levy,"12231 Sw 166 Ct Cedar Key, Fl 32625"
Cedar Key Scrub State Reserve,2,Central,Levy,"29.20453, -82.98792"
Charlotte Harbor Preserve State Park,4,Southwest,"Lee, Charlotte","12301 Burnt Store Rd. Punta Gorda, Fl 33955"
Cockroach Bay Preserve State Park,4,West Central,Hillsborough,"End Of Cockroach Bay Rd. Ruskin, Fl 33570"
Collier-Seminole State Park,4,Southwest,Collier,"20200 E Tamiami Trail Naples, Fl 34114"
Colt Creek State Park,3,West Central,Polk,"16000 State Road 471 Lakeland, Fl 33809"
Constitution Convention Museum State Park,1,Northwest,Gulf,"200 Allen Memorial Way Port St Joe, Fl 32456"
Crystal River Archaeological State Park,2,Central,Citrus,"3400 N Museum Pt Crystal River, Fl 34428"
Crystal River Preserve State Park,2,Central,Citrus,"3266 N Sailboat Avenue Crystal River, Fl 34428"
Curry Hammock State Park,5,Southeast,Monroe,"56200 Overseas Hwy Marathon, Fl 33050"
Dade Battlefield Historic State Park,4,Central,Sumter,"7200 Cr 603 - S Battlefield Drive Bushnell, Fl 33513"
Dagny Johnson Key Largo Hammock Botanical State Park,5,Southeast,Monroe,"County Rd. 905 & Mile Marker 106 Key Largo, Fl 33037"
De Leon Springs State Park,3,Northeast,Volusia,"601 Ponce De Leon Blvd De Leon Springs, Fl 32130"
Deer Lake State Park,1,Northwest,Walton,"6350 East County Rd. 30-A Santa Rosa Beach, Fl 32459"
Delnor-Wiggins Pass State Park,4,Southwest,Collier,"11135 Gulf Shore Dr Naples, Fl 34108"
Devil's Millhopper Geological State Park,2,Central,Alachua,"4732 Millhopper Rd. Gainesville, Fl 32653"
Don Pedro Island State Park,4,Southwest,Charlotte,"8450 Placida Rd. Cape Haze, Fl 33946"
Dr. Julian G. Bruce St. George Island State Park,1,North Central,Franklin,"1900 E Gulf Beach Dr St George Island, Fl 32328"
Dr. Von D. Mizell-Eula Johnson State Park,5,Southeast,Broward,"6503 N Ocean Dr Dania Bch, Fl 33004"
Dudley Farm Historic State Park,2,Central,Alachua,"18730 W. Newberry Rd. Newberry, Fl 32669"
Dunns Creek State Park,3,Northeast,Putnam,"Dunns Creek State Park Florida 15 Pomona Park, Fl"
Econfina River State Park,1,North Central,Taylor,"4741 Econfina River Rd. Lamont, Fl 32336"
Eden Gardens State Park,1,Northwest,Walton,"181 Eden Gardens Rd. Santa Rosa Beach, Fl 32450"
Edward Ball Wakulla Springs State Park,1,North Central,Wakulla,"465 Wakulla Park Dr Wakulla Springs, Fl 32327"
Egmont Key State Park,4,West Central,Hillsborough,"Egmont Key State Park St. Petersburg, Fl 33715"
Ellie Schiller Homosassa Springs Wildlife State Park,2,Central,Citrus,"4150 S Suncoast Blvd Homosassa, Fl 34446"
Estero Bay Preserve State Park,4,Southwest,Lee,"3800 Corkscrew Road Estero, Fl 33928"
Fakahatchee Strand Preserve State Park,4,Southwest,Collier,"137 Coastline Dr Copeland, Fl 34137 Po Box 548"
Falling Waters State Park,1,Northwest,Washington,"1130 State Park Rd Chipley, Fl 32428"
Fanning Springs State Park,2,Central,Levy,"11650 Nw 115Th Street Chiefland, Fl 32034"
Faver-Dykes State Park,3,Northeast,St. Johns,"1000 Faver-Dykes Rd. St. Augustine, Fl 32181"
Fernandina Plaza Historic State Park,2,Northeast,Nassau,"Estrada Street Fernandina Beach, Fl 32034"
Florida Caverns State Park,1,Northwest,Jackson,"3345 Caverns Rd Marianna, Fl 32446"
Florida Keys Overseas Heritage State Trail,5,Southeast,Monroe,"3 La Croix Court Key Largo, Fl 33037"
Forest Capital Museum State Park,2,North Central,Taylor,"204 Forest Park Dr Perry, Fl 32348"
